"seller","day_of_week","income"
Abraham Bennet,Monday   ,231845167
Albert Ringer,Monday   ,392378112
Ann Dull,Monday   ,39656689
Anne Ringer,Monday   ,53386968
Burt Gringlesby,Monday   ,118429770
Charlene Locksley,Monday   ,108450409
Cheryl Carson,Monday   ,77977683
Dean Straight,Monday   ,192550087
Dirk Stringer,Monday   ,759341414
Heather McBadden,Monday   ,293014641
Innes del Castillo,Monday   ,260992620
Johnson White,Monday   ,98560836
Livia Karsen,Monday   ,132386595
Marjorie Green,Monday   ,97539879
Meander Smith,Monday   ,52160253
Michael O'Leary,Monday   ,138096227
Michel DeFrance,Monday   ,479584829
Morningstar Greene,Monday   ,67381432
Reginald Blotchet-Halls,Monday   ,103178676
Sheryl Hunter,Monday   ,153301487
Stearns MacFeather,Monday   ,30778276
Sylvia Panteley,Monday   ,96399409
Abraham Bennet,Tuesday  ,259057939
Albert Ringer,Tuesday  ,419021763
Ann Dull,Tuesday  ,38097669
Anne Ringer,Tuesday  ,55417890
Burt Gringlesby,Tuesday  ,114453972
Charlene Locksley,Tuesday  ,102419401
Cheryl Carson,Tuesday  ,76905568
Dean Straight,Tuesday  ,183459004
Dirk Stringer,Tuesday  ,734550001
Heather McBadden,Tuesday  ,267891416
Innes del Castillo,Tuesday  ,285473236
Johnson White,Tuesday  ,100275627
Livia Karsen,Tuesday  ,145696047
Marjorie Green,Tuesday  ,102488985
Meander Smith,Tuesday  ,63913968
Michael O'Leary,Tuesday  ,125258219
Michel DeFrance,Tuesday  ,467420299
Morningstar Greene,Tuesday  ,67737586
Reginald Blotchet-Halls,Tuesday  ,89298236
Sheryl Hunter,Tuesday  ,163754696
Stearns MacFeather,Tuesday  ,31056507
Sylvia Panteley,Tuesday  ,99289882
Abraham Bennet,Wednesday,214842737
Albert Ringer,Wednesday,403718490
Ann Dull,Wednesday,35588869
Anne Ringer,Wednesday,46106256
Burt Gringlesby,Wednesday,119047452
Charlene Locksley,Wednesday,106731164
Cheryl Carson,Wednesday,66729939
Dean Straight,Wednesday,168092777
Dirk Stringer,Wednesday,642376609
Heather McBadden,Wednesday,249479670
Innes del Castillo,Wednesday,245729936
Johnson White,Wednesday,89036601
Livia Karsen,Wednesday,156662664
Marjorie Green,Wednesday,94949349
Meander Smith,Wednesday,49655915
Michael O'Leary,Wednesday,134524993
Michel DeFrance,Wednesday,439203816
Morningstar Greene,Wednesday,64838921
Reginald Blotchet-Halls,Wednesday,80548750
Sheryl Hunter,Wednesday,140290929
Stearns MacFeather,Wednesday,24953855
Sylvia Panteley,Wednesday,85876336
Abraham Bennet,Thursday ,226133835
Albert Ringer,Thursday ,405676776
Ann Dull,Thursday ,36627309
Anne Ringer,Thursday ,55678746
Burt Gringlesby,Thursday ,103250701
Charlene Locksley,Thursday ,102081316
Cheryl Carson,Thursday ,70730767
Dean Straight,Thursday ,182913429
Dirk Stringer,Thursday ,693463683
Heather McBadden,Thursday ,289587873
Innes del Castillo,Thursday ,247744484
Johnson White,Thursday ,91715690
Livia Karsen,Thursday ,168820537
Marjorie Green,Thursday ,90204735
Meander Smith,Thursday ,56688849
Michael O'Leary,Thursday ,130193756
Michel DeFrance,Thursday ,481154725
Morningstar Greene,Thursday ,61407196
Reginald Blotchet-Halls,Thursday ,89971666
Sheryl Hunter,Thursday ,148434215
Stearns MacFeather,Thursday ,22585507
Sylvia Panteley,Thursday ,91590671
Abraham Bennet,Friday   ,233935277
Albert Ringer,Friday   ,357492203
Ann Dull,Friday   ,37432987
Anne Ringer,Friday   ,51753372
Burt Gringlesby,Friday   ,109360118
Charlene Locksley,Friday   ,97761135
Cheryl Carson,Friday   ,80473529
Dean Straight,Friday   ,176048742
Dirk Stringer,Friday   ,672023488
Heather McBadden,Friday   ,245868792
Innes del Castillo,Friday   ,231816378
Johnson White,Friday   ,91757991
Livia Karsen,Friday   ,172939397
Marjorie Green,Friday   ,99954939
Meander Smith,Friday   ,53551973
Michael O'Leary,Friday   ,142326715
Michel DeFrance,Friday   ,473980590
Morningstar Greene,Friday   ,62929261
Reginald Blotchet-Halls,Friday   ,96797080
Sheryl Hunter,Friday   ,158669507
Stearns MacFeather,Friday   ,28022414
Sylvia Panteley,Friday   ,91390789
Abraham Bennet,Saturday ,219356975
Albert Ringer,Saturday ,359055474
Ann Dull,Saturday ,37658645
Anne Ringer,Saturday ,48579246
Burt Gringlesby,Saturday ,108212027
Charlene Locksley,Saturday ,100507406
Cheryl Carson,Saturday ,69224937
Dean Straight,Saturday ,176094664
Dirk Stringer,Saturday ,724561912
Heather McBadden,Saturday ,260891529
Innes del Castillo,Saturday ,245765201
Johnson White,Saturday ,91956007
Livia Karsen,Saturday ,142421308
Marjorie Green,Saturday ,95303157
Meander Smith,Saturday ,53094416
Michael O'Leary,Saturday ,131118621
Michel DeFrance,Saturday ,480574543
Morningstar Greene,Saturday ,64598854
Reginald Blotchet-Halls,Saturday ,92451756
Sheryl Hunter,Saturday ,143802225
Stearns MacFeather,Saturday ,27623844
Sylvia Panteley,Saturday ,87097876
Abraham Bennet,Sunday   ,232328660
Albert Ringer,Sunday   ,362985551
Ann Dull,Sunday   ,34138159
Anne Ringer,Sunday   ,49050846
Burt Gringlesby,Sunday   ,112782235
Charlene Locksley,Sunday   ,93744879
Cheryl Carson,Sunday   ,69553617
Dean Straight,Sunday   ,176872919
Dirk Stringer,Sunday   ,698820565
Heather McBadden,Sunday   ,266458383
Innes del Castillo,Sunday   ,244679372
Johnson White,Sunday   ,88934017
Livia Karsen,Sunday   ,137975357
Marjorie Green,Sunday   ,104815548
Meander Smith,Sunday   ,56678294
Michael O'Leary,Sunday   ,125981586
Michel DeFrance,Sunday   ,438321404
Morningstar Greene,Sunday   ,68473184
Reginald Blotchet-Halls,Sunday   ,80496550
Sheryl Hunter,Sunday   ,148514493
Stearns MacFeather,Sunday   ,27431438
Sylvia Panteley,Sunday   ,95337196
